
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
46,46,Saturday May 25,boxscore,NYM,,ATL,L,0,6,,17-29,4,12.0,Minor,Gee,,3:07,N,27622,-----
47,47,Sunday May 26,boxscore,NYM,,ATL,W,4,2,,18-29,4,11.0,Hawkins,Gearrin,Parnell,2:47,N,27296,+
48,48,Monday May 27,boxscore,NYM,,NYY,W,2,1,,19-29,4,10.0,Lyon,Robertson,Parnell,2:44,N,32911,++
49,49,Tuesday May 28,boxscore,NYM,,NYY,W-wo,2,1,,20-29,4,10.0,Rice,Rivera,,2:54,N,31877,+++
50,50,Wednesday May 29,boxscore,NYM,@,NYY,W,9,4,,21-29,4,9.0,Hefner,Phelps,,3:11,N,43681,++++
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,51,Thursday May 30,boxscore,NYM,@,NYY,W,3,1,,22-29,4,9.0,Gee,Nuno,Parnell,2:45,N,44207,+++++
52,52,Friday May 31,boxscore,NYM,@,MIA,L,1,5,,22-30,4,9.0,Turner,Marcum,,2:35,N,16493,-
53,53,Saturday Jun 1,boxscore,NYM,@,MIA,L,1,8,,22-31,4,10.0,Fernandez,McHugh,,2:41,D,16283,--
54,54,Sunday Jun 2,boxscore,NYM,@,MIA,L,6,11,,22-32,4,11.0,LeBlanc,Rice,,3:10,D,18434,---
55,55,Tuesday Jun 4,boxscore,NYM,@,WSN,L-wo,2,3,,22-33,4,12.5,Clippard,Parnell,,2:28,N,31473,----
56,56,Wednesday Jun 5,boxscore,NYM,@,WSN,W,10,1,,23-33,4,12.5,Gee,Haren,,3:12,N,36155,+
57,57,Saturday Jun 8,boxscore,NYM,,MIA,L,1,2,20,23-34,4,12.5,Slowey,Marcum,Cishek,6:25,D,20338,-
58,58,Sunday Jun 9,boxscore,NYM,,MIA,L,4,8,10,23-35,4,13.5,Qualls,Parnell,,3:35,D,21747,--
59,59,Tuesday Jun 11,boxscore,NYM,,STL,L,2,9,,23-36,4,13.0,Wacha,Hefner,,2:53,N,21581,---
60,60,Wednesday Jun 12,boxscore,NYM,,STL,W,5,1,,24-36,4,12.0,Gee,Miller,,2:33,N,23331,+
61,61,Thursday Jun 13,boxscore,NYM,,STL,L,1,2,,24-37,4,12.5,Wainwright,Harvey,Mujica,2:43,D,25471,-
62,62,Friday Jun 14,boxscore,NYM,,CHC,L,3,6,,24-38,4,12.5,Jackson,Marcum,Gregg,3:16,N,32213,--
63,63,Saturday Jun 15,boxscore,NYM,,CHC,L,2,5,,24-39,4,13.5,Feldman,Niese,Gregg,3:32,D,27004,---
64,64,Sunday Jun 16,boxscore,NYM,,CHC,W-wo,4,3,,25-39,4,13.5,Parnell,Marmol,,2:51,D,30256,+
65,65,Monday Jun 17,boxscore,NYM,@,ATL,L-wo,1,2,,25-40,4,14.5,Carpenter,Gee,,2:29,N,22048,-
66,66,Tuesday Jun 18 (1),boxscore,NYM,@,ATL,W,4,3,,26-40,4,12.5,Harvey,Wood,Parnell,3:13,D,21857,+
67,67,Tuesday Jun 18 (2),boxscore,NYM,@,ATL,W,6,1,,27-40,4,12.5,Wheeler,Maholm,,3:24,N,21073,++
68,68,Wednesday Jun 19,boxscore,NYM,@,ATL,L,3,5,,27-41,4,13.5,Medlen,Marcum,Kimbrel,3:00,N,21852,-
69,69,Thursday Jun 20,boxscore,NYM,@,ATL,W,4,3,,28-41,4,12.5,Hawkins,Minor,Parnell,3:10,N,33824,+
70,70,Friday Jun 21,boxscore,NYM,@,PHI,W,4,3,,29-41,4,11.5,Hefner,Hamels,Parnell,3:05,N,40062,++
71,71,Saturday Jun 22,boxscore,NYM,@,PHI,L-wo,7,8,,29-42,4,11.5,Papelbon,Torres,,3:15,D,45725,-
72,72,Sunday Jun 23,boxscore,NYM,@,PHI,W,8,0,,30-42,4,11.5,Harvey,Lannan,,2:34,D,44951,+
73,73,Tuesday Jun 25,boxscore,NYM,@,CHW,L-wo,4,5,,30-43,4,12.5,Reed,Hawkins,,2:55,N,20787,-
74,74,Wednesday Jun 26,boxscore,NYM,@,CHW,W,3,0,,31-43,4,11.5,Marcum,Danks,Parnell,2:28,N,18249,+
75,75,Thursday Jun 27,boxscore,NYM,@,COL,W,3,2,,32-43,4,11.0,Hawkins,Belisle,Parnell,2:51,D,34387,++
76,76,Friday Jun 28,boxscore,NYM,,WSN,L,4,6,,32-44,4,12.0,Clippard,Parnell,Storen,3:19,N,28363,-
77,77,Saturday Jun 29,boxscore,NYM,,WSN,W,5,1,,33-44,4,12.0,Gee,Jordan,,3:05,D,26426,+
