
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,NYM,@,WSN,W,3,1,,1-0,1,Tied,Colon,Scherzer,Carlyle,2:35,D,42295,+
2,2,Wednesday Apr 8,boxscore,NYM,@,WSN,L,1,2,,1-1,2,1.5,Zimmermann,deGrom,Storen,2:21,N,25999,-
3,3,Thursday Apr 9,boxscore,NYM,@,WSN,W,6,3,,2-1,2,1.0,Harvey,Strasburg,,2:54,D,25327,+
4,4,Friday Apr 10,boxscore,NYM,@,ATL,L,3,5,,2-2,2,2.0,Johnson,Montero,Grilli,3:01,N,46279,-
5,5,Saturday Apr 11,boxscore,NYM,@,ATL,L,3,5,,2-3,3,3.0,Teheran,Gee,Johnson,2:25,N,36056,--
6,6,Sunday Apr 12,boxscore,NYM,@,ATL,W,4,3,,3-3,2,2.0,Colon,Jaime,Familia,2:37,D,28192,+
7,7,Monday Apr 13,boxscore,NYM,,PHI,W,2,0,,4-3,2,2.0,deGrom,Harang,Familia,2:53,D,43947,++
8,8,Tuesday Apr 14,boxscore,NYM,,PHI,W,6,5,,5-3,2,1.0,Harvey,Buchanan,Familia,3:12,N,39489,+++
9,9,Wednesday Apr 15,boxscore,NYM,,PHI,W,6,1,,6-3,1,Tied,Niese,Williams,,2:36,N,21052,++++
10,10,Thursday Apr 16,boxscore,NYM,,MIA,W,7,5,,7-3,1,up 0.5,Blevins,Dunn,Familia,3:01,N,20556,+++++
11,11,Friday Apr 17,boxscore,NYM,,MIA,W,4,1,,8-3,1,up 0.5,Colon,Hand,Familia,2:38,N,38753,++++++
12,12,Saturday Apr 18,boxscore,NYM,,MIA,W,5,4,,9-3,1,up 1.5,deGrom,Latos,Torres,2:51,N,41844,+++++++
13,13,Sunday Apr 19,boxscore,NYM,,MIA,W,7,6,,10-3,1,up 1.5,Harvey,Koehler,Familia,2:49,D,41234,++++++++
14,14,Tuesday Apr 21,boxscore,NYM,,ATL,W,7,1,,11-3,1,up 2.5,Niese,Cahill,,2:41,N,21033,+++++++++
15,15,Wednesday Apr 22,boxscore,NYM,,ATL,W,3,2,,12-3,1,up 3.5,Carlyle,Johnson,Familia,2:34,N,20971,++++++++++
16,16,Thursday Apr 23,boxscore,NYM,,ATL,W,6,3,,13-3,1,up 4.5,Colon,Teheran,Familia,3:18,D,23980,+++++++++++
17,17,Friday Apr 24,boxscore,NYM,@,NYY,L,1,6,,13-4,1,up 4.5,Pineda,deGrom,,2:33,N,45310,-
18,18,Saturday Apr 25,boxscore,NYM,@,NYY,W,8,2,,14-4,1,up 4.5,Harvey,Sabathia,,2:45,D,47909,+
19,19,Sunday Apr 26,boxscore,NYM,@,NYY,L,4,6,,14-5,1,up 4.5,Shreve,Niese,Miller,2:45,N,47510,-
20,20,Monday Apr 27,boxscore,NYM,@,MIA,W,3,1,,15-5,1,up 4.5,Torres,Cishek,Familia,1:58,N,18547,+
21,21,Tuesday Apr 28,boxscore,NYM,@,MIA,L,3,4,,15-6,1,up 4.5,Morris,Torres,Cishek,2:46,N,17255,-
22,22,Wednesday Apr 29,boxscore,NYM,@,MIA,L,3,7,,15-7,1,up 4.5,Dyson,Colon,,2:54,N,17076,--
23,23,Thursday Apr 30,boxscore,NYM,,WSN,L,2,8,,15-8,1,up 4.5,Strasburg,deGrom,,2:54,N,21689,---
24,24,Friday May 1,boxscore,NYM,,WSN,W,4,0,,16-8,1,up 4.5,Harvey,Scherzer,Familia,2:29,N,33178,+
25,25,Saturday May 2,boxscore,NYM,,WSN,L,0,1,,16-9,1,up 3.5,Gonzalez,Niese,Storen,2:31,N,39730,-
26,26,Sunday May 3,boxscore,NYM,,WSN,L,0,1,,16-10,1,up 3.5,Fister,Gee,Storen,2:55,D,41048,--
27,27,Tuesday May 5,boxscore,NYM,,BAL,W,3,2,,17-10,1,up 4.0,Colon,Norris,Familia,2:19,N,20534,+
28,28,Wednesday May 6,boxscore,NYM,,BAL,W,5,1,,18-10,1,up 4.0,deGrom,Jimenez,,2:52,N,21667,++
29,29,Friday May 8,boxscore,NYM,@,PHI,L,1,3,,18-11,1,up 3.5,Hamels,Harvey,Papelbon,2:27,N,32734,-
30,30,Saturday May 9,boxscore,NYM,@,PHI,W,3,2,,19-11,1,up 3.5,Niese,Harang,Familia,2:44,N,29373,+
31,31,Sunday May 10,boxscore,NYM,@,PHI,W,7,4,,20-11,1,up 3.5,Colon,Billingsley,Familia,2:57,D,27935,++
32,32,Monday May 11,boxscore,NYM,@,CHC,L,3,4,,20-12,1,up 2.5,Lester,deGrom,Rondon,2:56,N,32980,-
33,33,Tuesday May 12,boxscore,NYM,@,CHC,L,1,6,,20-13,1,up 2.5,Arrieta,Syndergaard,,2:55,N,31542,--
34,34,Wednesday May 13,boxscore,NYM,@,CHC,L-wo,1,2,,20-14,1,up 1.5,Rondon,Torres,,2:37,N,33709,---
35,35,Thursday May 14,boxscore,NYM,@,CHC,L,5,6,,20-15,1,up 1.5,Strop,Niese,Rondon,2:49,D,31496,----
36,36,Friday May 15,boxscore,NYM,,MIL,L,0,7,,20-16,1,up 0.5,Lohse,Colon,,2:18,N,27554,-----
37,37,Saturday May 16,boxscore,NYM,,MIL,W,14,1,,21-16,1,up 0.5,deGrom,Garza,,2:56,N,30208,+
38,38,Sunday May 17,boxscore,NYM,,MIL,W,5,1,,22-16,1,up 0.5,Syndergaard,Peralta,,2:49,D,32422,++
39,39,Monday May 18,boxscore,NYM,,STL,W-wo,2,1,14,23-16,1,up 1.0,Torres,Tuivailala,,4:14,N,23338,+++
40,40,Tuesday May 19,boxscore,NYM,,STL,L,2,10,,23-17,1,Tied,Wacha,Niese,,2:43,N,21157,-
41,41,Wednesday May 20,boxscore,NYM,,STL,L,0,9,,23-18,2,1.0,Martinez,Colon,,2:43,N,23726,--
42,42,Thursday May 21,boxscore,NYM,,STL,W,5,0,,24-18,2,0.5,deGrom,Garcia,,2:26,D,32783,+
43,43,Friday May 22,boxscore,NYM,@,PIT,L,1,4,,24-19,2,1.5,Cole,Syndergaard,Melancon,2:24,N,33337,-
44,44,Saturday May 23,boxscore,NYM,@,PIT,L,2,8,,24-20,2,1.5,Burnett,Harvey,,2:41,D,39385,--
45,45,Sunday May 24,boxscore,NYM,@,PIT,L,1,9,,24-21,2,2.5,Liriano,Niese,,2:46,D,37784,---
46,46,Monday May 25,boxscore,NYM,,PHI,W,6,3,,25-21,2,2.5,Colon,Araujo,Familia,3:07,D,30946,+
47,47,Tuesday May 26,boxscore,NYM,,PHI,W-wo,5,4,10,26-21,2,1.5,Familia,Gomez,,3:17,N,21064,++
48,48,Wednesday May 27,boxscore,NYM,,PHI,W,7,0,,27-21,2,1.5,Syndergaard,O'Sullivan,,2:41,D,24406,+++
49,49,Friday May 29,boxscore,NYM,,MIA,L,3,4,,27-22,2,1.5,Haren,Harvey,Ramos,2:08,N,33880,-
50,50,Saturday May 30,boxscore,NYM,,MIA,L,5,9,,27-23,2,1.5,Dunn,Robles,Ramos,3:07,D,39095,--
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,51,Sunday May 31,boxscore,NYM,,MIA,W,4,3,,28-23,2,0.5,Colon,Cishek,Familia,2:47,D,28711,+
52,52,Monday Jun 1,boxscore,NYM,@,SDP,W,7,0,,29-23,1,Tied,deGrom,Cashner,,2:21,N,21893,++
53,53,Tuesday Jun 2,boxscore,NYM,@,SDP,L,2,7,,29-24,2,0.5,Kennedy,Syndergaard,,3:00,N,22264,-
54,54,Wednesday Jun 3,boxscore,NYM,@,SDP,L,3,7,,29-25,2,0.5,Shields,Gee,,2:45,N,24398,--
55,55,Thursday Jun 4,boxscore,NYM,@,ARI,W,6,2,,30-25,1,up 0.5,Harvey,Leone,Familia,3:22,N,18954,+
56,56,Friday Jun 5,boxscore,NYM,@,ARI,L,2,7,,30-26,2,0.5,Hellickson,Niese,,2:49,N,24332,-
57,57,Saturday Jun 6,boxscore,NYM,@,ARI,L,1,2,,30-27,2,0.5,Delgado,Colon,Ziegler,2:40,N,30265,--
58,58,Sunday Jun 7,boxscore,NYM,@,ARI,W,6,3,,31-27,1,up 0.5,deGrom,Collmenter,Familia,2:44,D,31575,+
59,59,Tuesday Jun 9,boxscore,NYM,,SFG,L,0,5,,31-28,1,up 0.5,Heston,Syndergaard,,2:32,N,23155,-
60,60,Wednesday Jun 10,boxscore,NYM,,SFG,L,5,8,,31-29,2,0.5,Hudson,Harvey,Casilla,3:23,N,24436,--
61,61,Thursday Jun 11,boxscore,NYM,,SFG,W-wo,5,4,,32-29,1,up 0.5,Familia,Romo,,3:03,N,25143,+
